               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.029317,            0.014353,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043924,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.029278,             0.01172,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043721,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.031665,            0.011088,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043721,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.029927,            0.011541,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045712,                   0,            0.005842,            0.005842,            0.005842
                 128,             0.03595,            0.011598,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045712,                   0,            0.005809,            0.005809,            0.005809
                 129,             0.03581,            0.011486,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043505,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.042749,            0.012122,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043505,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.049022,             0.01418,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045092,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.036996,           0.0091655,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045092,                   0,            0.005677,            0.005677,            0.005677
                 133,             0.03373,            0.010561,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042454,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.029033,            0.010767,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042454,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.030609,            0.010115,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048504,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.035988,            0.012817,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048504,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.027031,           0.0085557,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043863,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.033966,            0.010448,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043863,                   0,            0.005479,            0.005479,            0.005479
